City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Saint George,US,37.1041,-113.5841,105.64,21,1,1.99,clear sky
138,Poum,NC,-20.2333,164.0167,69.51,70,57,12.75,broken clouds
139,Guerrero Negro,MX,27.9769,-114.0611,82.42,49,46,13.0,scattered clouds
140,Luanda,AO,-8.8368,13.2343,71.6,88,20,5.75,few clouds
141,Abapo,BO,-18.8333,-63.4667,85.03,31,4,3.2,clear sky
142,Constitucion,CL,-35.3333,-72.4167,52.29,69,0,5.93,clear sky
143,Mercedes,AR,-34.6515,-59.4307,57.83,63,65,7.85,broken clouds
144,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,2.3,broken clouds
145,Menongue,AO,-14.6585,17.691,53.01,43,32,3.96,scattered clouds
146,Dalianwan,CN,39.0286,121.695,73.44,94,90,6.71,overcast clouds
147,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,20.71,scattered clouds
148,Bubaque,GW,11.2833,-15.8333,79.03,83,38,12.03,scattered clouds
149,Monrovia,LR,6.3005,-10.7969,76.77,77,55,10.54,broken clouds
150,Bredasdorp,ZA,-34.5322,20.0403,45.72,81,43,8.05,scattered clouds
151,Boali,CF,4.8005,18.1275,80.47,89,7,2.84,light rain
152,Heihe,CN,50.2441,127.4902,72.18,98,100,5.08,light rain
153,Galesong,ID,-5.3166,119.3661,71.62,72,48,10.54,scattered clouds
154,Nikolskoye,RU,59.7035,30.7861,75.09,78,100,1.83,overcast clouds
155,Hirara,JP,24.8,125.2833,84.09,77,71,13.35,broken clouds
156,Adrar,MR,20.5022,-10.0711,96.78,19,28,7.16,scattered clouds
157,Nishihara,JP,26.1842,127.7558,81.68,83,40,3.44,scattered clouds
158,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,93,90,12.66,overcast clouds
159,Kattivakkam,IN,13.2167,80.3167,82.49,76,100,7.9,overcast clouds
160,Tautira,PF,-17.7333,-149.15,80.62,80,29,21.74,light rain
161,Antofagasta,CL,-23.65,-70.4,61.88,82,27,7.29,scattered clouds
162,Acajutla,SV,13.5928,-89.8275,92.8,70,40,5.32,scattered clouds
163,Naze,JP,28.3667,129.4833,78.39,85,100,5.68,overcast clouds
164,Ribeira Grande,PT,38.5167,-28.7,72.0,78,40,16.11,scattered clouds
165,Te Anau,NZ,-45.4167,167.7167,41.29,87,100,7.16,overcast clouds
166,Luau,AO,-10.7073,22.2247,62.51,39,34,2.01,scattered clouds
167,Kondinskoye,RU,59.6481,67.41,45.23,69,10,11.45,clear sky
168,Vostok,RU,46.4856,135.8833,70.34,83,60,2.1,broken clouds
169,Paris,FR,48.8534,2.3488,63.3,95,75,1.01,moderate rain
170,Zilair,RU,52.2332,57.4392,55.62,69,49,3.8,scattered clouds
171,Isangel,VU,-19.55,169.2667,71.38,78,93,17.09,overcast clouds
172,Nome,US,64.5011,-165.4064,53.67,82,90,8.05,overcast clouds
173,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.67,80,34,8.66,scattered clouds
174,Ponta Do Sol,PT,32.6667,-17.1,72.72,83,4,7.31,clear sky
175,George,ZA,-33.963,22.4617,42.35,81,0,6.91,clear sky
176,Georgetown,MY,5.4112,100.3354,78.89,91,40,1.01,scattered clouds
177,Saint-Pierre,RE,-21.3393,55.4781,69.48,62,0,12.66,clear sky
178,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,0,12.66,clear sky
179,Two Hills,CA,53.7169,-111.7518,82.76,29,100,4.61,overcast clouds
180,Meadow Lake,US,34.8014,-106.5436,94.82,29,41,13.22,scattered clouds
181,Markova,UA,48.6758,24.4138,66.65,81,0,5.12,clear sky
182,Klaksvik,FO,62.2266,-6.589,50.92,91,99,12.8,overcast clouds
183,Dikson,RU,73.5069,80.5464,35.83,91,100,9.82,overcast clouds
184,Sitka,US,57.0531,-135.33,57.9,82,92,3.89,overcast clouds
185,Zhigansk,RU,66.7697,123.3711,58.17,87,100,8.05,light rain
186,Carnarvon,AU,-24.8667,113.6333,59.07,60,75,4.61,broken clouds
187,Ust-Tsilma,RU,65.441,52.1498,58.44,48,92,3.89,overcast clouds
188,Colares,PT,38.7992,-9.4469,65.88,72,20,13.0,few clouds
189,Bambanglipuro,ID,-7.95,110.2833,57.6,81,91,7.31,overcast clouds
190,Lukiv,UA,51.0521,25.4006,74.17,82,9,7.83,clear sky
191,Bilma,NE,18.6853,12.9164,94.93,24,85,4.52,overcast clouds
192,Lompoc,US,34.6391,-120.4579,90.01,69,1,14.97,clear sky
193,Caruray,PH,10.3094,119.0128,79.38,82,100,1.74,overcast clouds
194,Mehriz,IR,31.5917,54.4318,91.9,15,16,1.66,few clouds
195,San Quintin,MX,30.4833,-115.95,76.53,58,39,10.42,scattered clouds
196,Provideniya,RU,64.3833,-173.3,44.71,81,44,8.95,fog
197,Kuruman,ZA,-27.4524,23.4325,28.99,48,0,10.07,clear sky
198,Atambua,ID,-9.1061,124.8925,68.43,89,72,5.39,broken clouds
199,Gondar,ET,12.6,37.4667,59.05,89,100,2.39,light rain
200,Yumen,CN,40.2833,97.2,71.22,48,95,2.57,overcast clouds
201,Karwar,IN,14.8,74.1333,78.15,86,100,13.76,light rain
202,Baruun-Urt,MN,46.6806,113.2792,65.28,92,100,5.37,moderate rain
203,Bilibino,RU,68.0546,166.4372,60.93,72,98,3.87,overcast clouds
204,Yangambi,CD,0.8102,24.4336,75.7,67,69,3.76,broken clouds
205,Marsabit,KE,2.3284,37.9899,65.89,63,93,21.59,overcast clouds
206,Warmbad,NA,-28.45,18.7333,42.67,48,0,8.01,clear sky
207,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,18.41,few clouds
208,Zverinogolovskoye,RU,54.4586,64.8542,49.77,72,33,12.82,scattered clouds
209,Copiapo,CL,-27.3667,-70.3333,55.09,59,83,6.82,broken clouds
210,Ascension,US,30.2169,-90.9001,91.4,50,16,3.96,light rain
211,Rosemount,US,44.7394,-93.1258,89.78,52,1,1.01,clear sky
212,Pompeia,BR,-22.1086,-50.1717,70.9,32,1,3.91,clear sky
213,Daru,PG,-9.0763,143.2092,77.97,90,65,17.16,broken clouds
214,Rio Gallegos,AR,-51.6226,-69.2181,37.45,70,20,4.61,few clouds
215,Lagoa,PT,39.05,-27.9833,68.27,81,99,14.67,overcast clouds
216,Rawson,AR,-43.3002,-65.1023,50.23,47,11,6.91,few clouds
217,Erdenet,MN,49.0333,104.0833,47.84,94,86,4.81,overcast clouds
218,Luneville,FR,48.6,6.5,60.69,94,47,4.65,scattered clouds
219,Skelleftea,SE,64.7507,20.9528,72.0,58,99,1.01,overcast clouds
220,Batagay-Alyta,RU,67.8006,130.4114,62.04,50,75,3.85,broken clouds
221,Meulaboh,ID,4.1363,96.1285,76.21,86,100,4.29,overcast clouds
222,Pevek,RU,69.7008,170.3133,39.78,89,98,4.23,overcast clouds
223,Geraldton,AU,-28.7667,114.6,61.21,77,75,21.85,broken clouds
224,Primero De Enero,CU,21.9469,-78.4283,86.68,65,80,13.87,broken clouds
225,Aykhal,RU,66.0,111.5,49.37,90,99,9.28,overcast clouds
226,Nevers,FR,46.9167,3.3333,59.59,98,68,3.04,broken clouds
