City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Mangan,IN,74.62,overcast clouds,27.5167,88.5333,Hotel Mout View
247,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
255,Vung Tau,VN,80.89,light rain,10.346,107.0843,Green hotel
257,Pachino,IT,78.84,clear sky,36.7186,15.0907,Pietra Bianca B&B
258,Carutapera,BR,76.3,broken clouds,-1.195,-46.02,Lidera
259,Faanui,PF,80.46,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
260,Sciacca,IT,81.05,few clouds,37.5082,13.0881,Hotel Aliai
261,Sinnamary,GF,80.04,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
263,Tual,ID,80.4,broken clouds,-5.6667,132.75,Grand Vilia Hotel
266,Saint-Prosper,CA,72.32,overcast clouds,46.2117,-70.4811,
271,Sassandra,CI,75.18,light rain,4.95,-6.0833,la terrasse
275,Mae Sai,TH,76.32,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
279,Sakaiminato,JP,73.38,broken clouds,35.55,133.2333,味処・民宿 まつや
281,Vilhena,BR,88.02,clear sky,-12.7406,-60.1458,Hotel Mirage
283,Tabuk,PH,73.56,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
284,Hengyang,CN,80.35,broken clouds,26.8881,112.615,Honglin Guesthouse
286,Sola,VU,80.51,overcast clouds,-13.8833,167.55,Leumerus Bungalows
288,Bima,ID,70.52,broken clouds,-8.4667,118.7167,Lambitu Hotel
289,Labuhan,ID,76.55,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
290,Kozmodemyansk,RU,70.63,broken clouds,56.3367,46.5711,"Lada, Gostinitsa"
291,Manggar,ID,71.37,light rain,-2.8833,108.2667,Guest Hotel
292,Qiongshan,CN,80.58,clear sky,20.0058,110.3542,Sun City Restaurant
293,Matara,LK,78.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
294,Almunecar,ES,83.32,clear sky,36.7339,-3.6907,Almuñécar Playa Spa Hotel
295,Zolochiv,UA,70.27,clear sky,49.806,24.8944,Hotel Avalon
296,La Cruz,MX,86.86,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
297,Quang Ngai,VN,75.42,broken clouds,15.1167,108.8,Central Hotel
300,Chilliwack,CA,85.35,few clouds,49.1747,-121.9443,Coast Chilliwack Hotel by APA
302,San Jose,US,84.85,clear sky,37.3394,-121.895,The Westin San Jose
306,Nizwa,OM,84.88,overcast clouds,22.9333,57.5333,Orient Apartments
311,Axim,GH,77.97,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
312,Longkou,CN,76.3,heavy intensity rain,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
313,Cockburn Town,TC,85.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
314,Shaunavon,CA,78.58,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
315,Izumo,JP,73.35,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
317,Idappadi,IN,76.5,overcast clouds,11.5833,77.85,Traveller Bungalow
319,Dzilam Gonzalez,MX,88.16,broken clouds,21.2833,-88.9333,posadas
322,Jalu,LY,87.71,clear sky,29.0331,21.5482,صاحبة الفخامة
324,Puerto Escondido,MX,86.34,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
327,Sao Filipe,CV,73.83,overcast clouds,14.8961,-24.4956,Hotel Xaguate
328,Kalmunai,LK,81.14,overcast clouds,7.4167,81.8167,VS Villa
330,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
331,Heishan,CN,73.92,light rain,41.6892,122.1128,Heishan Hotel
332,Tabou,CI,76.86,broken clouds,4.423,-7.3528,hotêl doufoulougou
335,Itoman,JP,82.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
343,Marzuq,YE,80.29,overcast clouds,14.4,46.4667,
349,Guangyuan,CN,77.11,broken clouds,32.442,105.823,Guangyuan Poetry Hotel
350,North Bend,US,76.24,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
352,Golden Gate,US,78.98,overcast clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
353,Nantucket,US,70.03,overcast clouds,41.2835,-70.0995,Jared Coffin House
